顾客编号,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,商品单价,销售金额,是否促销
210,13,熟食,1308,现制中式面点,130803,现制烙类,20150207,201502,DW-1308030035,个,生鲜,个,2,1,2,否
210,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150207,201502,DW-1505010009,450g,一般商品,盒,1,11.8,11.8,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150207,201502,DW-1201010019,散称,生鲜,千克,0.82,1.96,1.6072,否
210,12,蔬果,1202,加工豆类,120201,豆腐,20150207,201502,DW-1202018267,块,生鲜,块,1,1.5,1.5,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150207,201502,DW-1521010005,散称,一般商品,千克,0.788,6.78,5.34264,否
210,22,休闲,2203,膨化点心,220399,其他膨化点心,20150207,201502,DW-2203990009,40g,一般商品,袋,1,2.7,2.7,否
210,22,休闲,2203,膨化点心,220302,袋装薯片,20150209,201502,DW-2203020024,70g,一般商品,包,1,5.9,5.9,是
210,22,休闲,2204,蜜饯,220401,葡萄干,20150209,201502,DW-2204010036,散装,一般商品,KG,0.708,33.8,23.9304,是
210,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150209,201502,DW-1518020003,250ml,一般商品,盒,12,3.5,42,是
210,22,休闲,2203,膨化点心,220304,薯条,20150209,201502,DW-2203040012,40g,一般商品,袋,1,3.5,3.5,否
210,30,洗化,3016,纸制品,301603,无芯纸,20150210,201502,DW-3016030028,1400g,一般商品,提,1,23.9,23.9,是
210,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150210,201502,DW-1505010008,250g,一般商品,盒,1,6.9,6.9,否
210,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150210,201502,DW-1505030006,250g,一般商品,盒,1,6.9,6.9,否
210,12,蔬果,1201,蔬菜,120104,花果,20150210,201502,DW-1201040010,散称,生鲜,千克,0.594,2.58,1.53252,否
210,22,休闲,2201,饼干,220112,饼干礼盒,20150211,201502,DW-2201120027,800g,一般商品,盒,1,16.3,16.3,是
210,22,休闲,2203,膨化点心,220301,米制点心,20150211,201502,DW-2203010079,240g,一般商品,袋,1,13.5,13.5,否
210,22,休闲,2209,巧克力,220902,夹心巧克力,20150211,201502,DW-2209020030,36g*4,一般商品,袋,1,14.5,14.5,否
210,12,蔬果,1201,蔬菜,120104,花果,20150211,201502,DW-1201040010,散称,生鲜,千克,0.52,2.58,1.3416,否
210,22,休闲,2210,果冻,221003,杯装果冻,20150211,201502,DW-2210030027,200g,一般商品,杯,1,4.5,4.5,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150211,201502,DW-1201010023,散称,生鲜,千克,0.909,2.56,2.32704,否
210,22,休闲,2202,糕点,220204,沙琪玛,20150211,201502,DW-2202040004,608g,一般商品,袋,1,14.3,14.3,是
210,20,粮油,2009,盐/糖,200902,功能盐,20150211,201502,DW-2009020012,400g,一般商品,袋,1,2.3,2.3,否
210,22,休闲,2210,果冻,221003,杯装果冻,20150211,201502,DW-2210030017,178g,一般商品,只,1,3.9,3.9,否
210,11,水产,1101,冰鲜水产,110107,贝蛤类,20150211,201502,DW-1101070017,散称,生鲜,kg,0.586,30,17.58,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150211,201502,DW-1004020001,散称,生鲜,千克,0.658,35.8,23.5564,否
210,22,休闲,2201,饼干,220109,薄脆,20150211,201502,DW-2201090113, ,一般商品,袋,1,12.9,12.9,否
210,23,酒饮,2303,果汁饮料,230302,桃饮料,20150211,201502,DW-2303020004,1L,一般商品,盒,1,8.9,8.9,否
210,12,蔬果,1202,加工豆类,120201,豆腐,20150211,201502,DW-1202018073,散称,生鲜,千克,0.416,2.96,1.23136,否
210,20,粮油,2001,袋装速食面,200105,干脆面,20150211,201502,DW-2001050023,26g,一般商品,袋,1,0.5,0.5,否
210,22,休闲,2204,蜜饯,220401,葡萄干,20150211,201502,DW-2204010036,散装,一般商品,KG,0.398,33.8,13.4524,是
210,22,休闲,2210,果冻,221003,杯装果冻,20150211,201502,DW-2210030003,200g,一般商品,杯,1,4.2,4.2,否
210,21,冲调,2105,冲调食品,210501,麦片/粉,20150211,201502,DW-2105010110,800g,一般商品,袋,1,22.3,22.3,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150211,201502,DW-1201010004,散称,生鲜,千克,0.516,5.6,2.8896,否
210,20,粮油,2007,南北干货,200705,桂圆,20150211,201502,DW-2007050035,500g,一般商品,袋,1,17.3,17.3,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150213,201502,DW-1201020029,散称,生鲜,千克,1.002,3.96,3.96792,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150213,201502,DW-1201010020, ,生鲜,包,2,4.98,9.96,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150213,201502,DW-1004020001,散称,生鲜,千克,0.806,35.8,28.8548,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150213,201502,DW-1201020017,散称,生鲜,千克,0.78,2.56,1.9968,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150215,201502,DW-1201010023,散称,生鲜,千克,0.674,2.56,1.72544,否
210,13,熟食,1308,现制中式面点,130803,现制烙类,20150215,201502,DW-1308030035,个,生鲜,个,2,1,2,否
210,12,蔬果,1203,水果,120313,其它水果,20150215,201502,DW-1203130446,散称,生鲜,KG,0.55,30,16.5,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150215,201502,DW-1201010020, ,生鲜,包,1,4.98,4.98,否
210,12,蔬果,1201,蔬菜,120105,鲜调味,20150215,201502,DW-1201050255,散称,生鲜,千克,0.31,9.6,2.976,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150217,201502,DW-1201010004,散称,生鲜,千克,0.706,5.6,3.9536,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150217,201502,DW-1201010023,散称,生鲜,千克,0.542,2.56,1.38752,否
210,12,蔬果,1201,蔬菜,120105,鲜调味,20150217,201502,DW-1201050011,散称,生鲜,千克,0.597,6.56,3.91632,否
210,12,蔬果,1201,蔬菜,120104,花果,20150217,201502,DW-1201040010,散称,生鲜,千克,0.54,2.58,1.3932,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150217,201502,DW-1201010020, ,生鲜,包,1,4.98,4.98,否
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150218,201502,DW-2317020201,240ml,联营商品,听,1,5.5,5.5,否
210,23,酒饮,2303,果汁饮料,230399,其他果汁饮料,20150218,201502,DW-2303990181,1L,一般商品,盒,1,20.7,20.7,否
210,30,洗化,3006,洗衣用品,300602,洗衣液,20150218,201502,DW-3006020031,3kg,一般商品,瓶,1,51.9,51.9,是
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150218,201502,DW-2317020091,240ml,联营商品,听,1,6.5,6.5,否
210,30,洗化,3006,洗衣用品,300602,洗衣液,20150218,201502,DW-3006020034,3kg,一般商品,瓶,1,51.9,51.9,是
210,23,酒饮,2303,果汁饮料,230302,桃饮料,20150218,201502,DW-2303020014,1.5L,一般商品,瓶,1,8.7,8.7,否
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150218,201502,DW-2317020220,240ml,联营商品,罐,1,6,6,否
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150218,201502,DW-2317020196,180ml,联营商品,听,1,4.8,4.8,否
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150218,201502,DW-2317020198,240ml,联营商品,听,1,5.5,5.5,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150303,201503,DW-1001010196,散称,生鲜,千克,0.712,27.8,19.7936,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150303,201503,DW-1201020017,散称,生鲜,千克,0.606,2.56,1.55136,否
210,12,蔬果,1201,蔬菜,120104,花果,20150303,201503,DW-1201040010,散称,生鲜,千克,0.632,2.58,1.63056,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150303,201503,DW-1201010019,散称,生鲜,千克,1.962,1.96,3.84552,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150305,201503,DW-1201010021,散称,生鲜,千克,0.378,6.56,2.47968,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150305,201503,DW-1201020045,散称,生鲜,千克,0.37,7.6,2.812,否
210,12,蔬果,1202,加工豆类,120201,豆腐,20150305,201503,DW-1202018267,块,生鲜,块,1,1.5,1.5,否
210,20,粮油,2005,煮食面/粉,200501,挂面,20150305,201503,DW-2005010010,350g*2,一般商品,组,1,5.3,5.3,否
210,12,蔬果,1203,水果,120313,其它水果,20150305,201503,DW-1203130446,散称,生鲜,KG,0.514,30,15.42,否
210,20,粮油,2011,液体调料,201107,滴醋,20150305,201503,DW-2011070010,480mL,一般商品,瓶,1,3.8,3.8,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150305,201503,DW-1201020361,散称,生鲜,kg,0.612,56,34.272,否
210,12,蔬果,1201,蔬菜,120104,花果,20150305,201503,DW-1201040031,散称,生鲜,千克,0.656,3.16,2.07296,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150305,201503,DW-1004020001,散称,生鲜,千克,0.654,35.8,23.4132,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150305,201503,DW-1201010023,散称,生鲜,千克,0.506,2.56,1.29536,否
210,12,蔬果,1201,蔬菜,120104,花果,20150306,201503,DW-1201040026,散称,生鲜,千克,0.38,1.98,0.7524,否
210,20,粮油,2015,罐头,201501,八宝粥,20150306,201503,DW-2015010036,360g,一般商品,个,12,3.2,38.4,否
210,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150306,201503,DW-1518020040,250ml,一般商品,盒,1,3,3,否
210,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150306,201503,DW-1518020040,250ml,一般商品,盒,2,3,6,否
210,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150306,201503,DW-1518020039,250ml,一般商品,盒,3,3,9,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150306,201503,DW-1201010004,散称,生鲜,千克,0.6,5.6,3.36,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150306,201503,DW-1201020045,散称,生鲜,千克,0.55,7.6,4.18,否
210,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150307,201503,DW-1505010009,450g,一般商品,盒,1,11.8,11.8,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150307,201503,DW-1201020044,散称,生鲜,千克,0.69,3.96,2.7324,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150307,201503,DW-1201020722,散称,生鲜,KG,0.22,20,4.4,否
210,22,休闲,2208,口香糖,220802,有糖口香糖,20150307,201503,DW-2208020067,12片,一般商品,包,1,4.9,4.9,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150307,201503,DW-1201010020, ,生鲜,包,1,4.98,4.98,否
210,12,蔬果,1203,水果,120303,梨类,20150307,201503,DW-1203030184,散称,生鲜,KG,0.794,4,3.176,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150308,201503,DW-1201010021,散称,生鲜,千克,0.478,6.56,3.13568,否
210,12,蔬果,1203,水果,120313,其它水果,20150308,201503,DW-1203130446,散称,生鲜,KG,0.588,30,17.64,否
210,20,粮油,2011,液体调料,201111,料酒,20150308,201503,DW-2011110013,500mL,一般商品,瓶,1,3.9,3.9,否
210,20,粮油,2011,液体调料,201103,凉拌酱油,20150308,201503,DW-2011030005,500mL,一般商品,瓶,1,6.9,6.9,否
210,12,蔬果,1201,蔬菜,120106,菌菇类,20150314,201503,DW-1201060010,散称,生鲜,千克,0.202,9,1.818,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150314,201503,DW-1004020001,散称,生鲜,千克,0.618,35.8,22.1244,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150314,201503,DW-1201010001,散称,生鲜,千克,0.392,5.56,2.17952,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150315,201503,DW-1201010005,散称,生鲜,千克,0.273,5.8,1.5834,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150315,201503,DW-1201010001,散称,生鲜,千克,0.345,5.56,1.9182,否
210,12,蔬果,1201,蔬菜,120104,花果,20150315,201503,DW-1201040035,散称,生鲜,千克,0.256,9.6,2.4576,否
210,12,蔬果,1201,蔬菜,120106,菌菇类,20150315,201503,DW-1201060010,散称,生鲜,千克,0.308,9,2.772,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150315,201503,DW-1004020001,散称,生鲜,千克,0.604,35.8,21.6232,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150316,201503,DW-1201020361,散称,生鲜,kg,0.752,56,42.112,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150316,201503,DW-1201010019,散称,生鲜,千克,1.312,1.96,2.57152,否
210,12,蔬果,1203,水果,120306,桃/李类,20150316,201503,DW-1203060156,散称,生鲜,KG,0.506,25,12.65,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150317,201503,DW-1201020011,散称,生鲜,千克,0.43,16,6.88,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150317,201503,DW-1001010191,散称,生鲜,千克,0.33,29.8,9.834,否
210,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150318,201503,DW-2303040026,240ml,一般商品,听,20,3.8,76,否
210,20,粮油,2015,罐头,201501,八宝粥,20150318,201503,DW-2015010036,360g,一般商品,个,12,3.2,38.4,否
210,12,蔬果,1201,蔬菜,120104,花果,20150319,201503,DW-1201040010,散称,生鲜,千克,0.55,2.58,1.419,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150319,201503,DW-1201020037,散称,生鲜,千克,0.302,3.96,1.19592,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150319,201503,DW-1001010191,散称,生鲜,千克,0.302,29.8,8.9996,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150319,201503,DW-1201020010,散称,生鲜,千克,0.344,3.8,1.3072,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150319,201503,DW-1201010001,散称,生鲜,千克,0.468,5.56,2.60208,否
210,23,酒饮,2303,果汁饮料,230302,桃饮料,20150321,201503,DW-2303020014,1.5L,一般商品,瓶,1,8.7,8.7,否
210,23,酒饮,2307,乳饮料,230701,果味乳饮,20150321,201503,DW-2307010006,1.5L,一般商品,瓶,1,10.7,10.7,是
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150321,201503,DW-2317020186,238ml,联营商品,听,1,5.5,5.5,否
210,31,家居,3119,卫浴用品,311903,搓澡巾及手套,20150322,201503,DW-3119030024,JY3078,一般商品,个,1,7,7,否
210,31,家居,3119,卫浴用品,311903,搓澡巾及手套,20150322,201503,DW-3119030056,1997,一般商品,袋,1,10,10,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150322,201503,DW-1004020001,散称,生鲜,千克,0.67,35.8,23.986,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150323,201503,DW-1201010001,散称,生鲜,千克,0.322,5.56,1.79032,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150323,201503,DW-1201020042,散称,生鲜,千克,0.328,7.8,2.5584,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150323,201503,DW-1521010005,散称,一般商品,千克,0.843,6.78,5.71554,否
210,12,蔬果,1201,蔬菜,120106,菌菇类,20150323,201503,DW-1201060010,散称,生鲜,千克,0.23,9,2.07,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150323,201503,DW-1001010191,散称,生鲜,千克,0.33,29.8,9.834,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150326,201503,DW-1001010194,散称,生鲜,千克,0.318,29.8,9.4764,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150326,201503,DW-1201010023,散称,生鲜,千克,0.668,2.56,1.71008,否
210,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150326,201503,DW-1202048078,散称,生鲜,千克,0.186,5,0.93,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150326,201503,DW-1201010001,散称,生鲜,千克,0.44,5.56,2.4464,否
210,12,蔬果,1201,蔬菜,120104,花果,20150326,201503,DW-1201040035,散称,生鲜,千克,0.306,9.6,2.9376,否
210,12,蔬果,1201,蔬菜,120105,鲜调味,20150327,201503,DW-1201050004,散称,生鲜,千克,0.146,5.98,0.87308,否
210,12,蔬果,1201,蔬菜,120106,菌菇类,20150327,201503,DW-1201060010,散称,生鲜,千克,0.308,9,2.772,否
210,12,蔬果,1201,蔬菜,120104,花果,20150327,201503,DW-1201040026,散称,生鲜,千克,0.41,1.98,0.8118,否
210,10,肉禽,1004,鸡产品,100402,分割鸡件,20150327,201503,DW-1004020001,散称,生鲜,千克,0.598,35.8,21.4084,否
210,30,洗化,3016,纸制品,301609,湿巾纸,20150328,201503,DW-3016090049,8片,一般商品,包,1,3.9,3.9,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150328,201503,DW-1201020042,散称,生鲜,千克,0.342,7.8,2.6676,否
210,23,酒饮,2317,进口饮料,231702,进口果汁,20150328,201503,DW-2317020186,238ml,联营商品,听,1,5.5,5.5,否
210,23,酒饮,2307,乳饮料,230705,乳酸菌饮料,20150328,201503,DW-2307050002,220ml*4,一般商品,板,1,7.5,7.5,否
210,30,洗化,3013,口腔卫生用品,301303,成人牙刷,20150328,201503,DW-3013030393,1818,一般商品,支,1,9.7,9.7,否
210,12,蔬果,1203,水果,120301,柑桔柚类,20150330,201503,DW-1203010290,散称,生鲜,KG,1.534,2,3.068,否
210,12,蔬果,1203,水果,120303,梨类,20150330,201503,DW-1203030184,散称,生鲜,KG,1.02,4,4.08,否
210,22,休闲,2203,膨化点心,220301,米制点心,20150401,201504,DW-2203010110,160g,一般商品,袋,1,8.7,8.7,否
210,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150401,201504,DW-1518130016,205g,一般商品,盒,1,5.5,5.5,否
210,22,休闲,2203,膨化点心,220301,米制点心,20150401,201504,DW-2203010106,150g,一般商品,袋,1,7.9,7.9,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150404,201504,DW-1001010191,散称,生鲜,千克,0.372,29.8,11.0856,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150404,201504,DW-1201010001,散称,生鲜,千克,0.374,5.56,2.07944,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150404,201504,DW-1201020044,散称,生鲜,千克,0.43,3.96,1.7028,否
210,12,蔬果,1201,蔬菜,120104,花果,20150404,201504,DW-1201040035,散称,生鲜,千克,0.342,9.6,3.2832,否
210,12,蔬果,1203,水果,120309,进口水果,20150404,201504,DW-1203090216,散称,生鲜,KG,0.358,15.9,5.6922,否
210,12,蔬果,1201,蔬菜,120105,鲜调味,20150404,201504,DW-1201050005,散称,生鲜,千克,0.218,4.4,0.9592,否
210,21,冲调,2101,奶粉,210107,全脂奶粉,20150405,201504,DW-2101070002,400g,一般商品,袋,1,39.9,39.9,否
210,22,休闲,2202,糕点,220299,其他糕点,20150405,201504,DW-2202990149,184g,一般商品,袋,1,9.9,9.9,否
210,22,休闲,2203,膨化点心,220301,米制点心,20150405,201504,DW-2203010110,160g,一般商品,袋,1,8.7,8.7,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150408,201504,DW-1201020044,散称,生鲜,千克,0.668,3.96,2.64528,否
210,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150408,201504,DW-1202048043,散称,生鲜,千克,0.276,6.96,1.92096,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150408,201504,DW-1521010005,散称,一般商品,千克,0.782,6.78,5.30196,否
210,22,休闲,2204,蜜饯,220499,其他蜜饯,20150408,201504,DW-2204990106,散称,联营商品,千克,0.394,16.8,6.6192,是
210,12,蔬果,1201,蔬菜,120102,根茎,20150408,201504,DW-1201020034,散称,生鲜,千克,0.403,30,12.09,否
210,12,蔬果,1201,蔬菜,120104,花果,20150410,201504,DW-1201040042,散称,生鲜,千克,0.454,7.8,3.5412,否
210,12,蔬果,1202,加工豆类,120201,豆腐,20150410,201504,DW-1202018073,散称,生鲜,千克,0.354,2.96,1.04784,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150410,201504,DW-1201020025,散称,生鲜,千克,0.47,2.56,1.2032,否
210,10,肉禽,1001,猪肉,100101,鲜猪肉,20150410,201504,DW-1001010196,散称,生鲜,千克,0.512,27.8,14.2336,否
210,12,蔬果,1201,蔬菜,120105,鲜调味,20150410,201504,DW-1201050255,散称,生鲜,千克,0.216,9.6,2.0736,否
210,12,蔬果,1203,水果,120307,蕉类,20150412,201504,DW-1203070022,散称,生鲜,KG,1.143,5.96,6.81228,否
210,22,休闲,2204,蜜饯,220499,其他蜜饯,20150412,201504,DW-2204990106,散称,联营商品,千克,0.44,16.8,7.392,否
210,12,蔬果,1203,水果,120306,桃/李类,20150412,201504,DW-1203060156,散称,生鲜,KG,0.792,25,19.8,否
210,12,蔬果,1201,蔬菜,120106,菌菇类,20150412,201504,DW-1201060004,散称,生鲜,千克,0.262,16.8,4.4016,否
210,12,蔬果,1201,蔬菜,120106,菌菇类,20150412,201504,DW-1201060003,散称,生鲜,千克,0.304,6.56,1.99424,否
210,12,蔬果,1203,水果,120303,梨类,20150419,201504,DW-1203030164,散称,生鲜,KG,0.472,9.96,4.70112,否
210,20,粮油,2011,液体调料,201103,凉拌酱油,20150419,201504,DW-2011030018,410ml,一般商品,瓶,1,7.9,7.9,否
210,12,蔬果,1203,水果,120303,梨类,20150419,201504,DW-1203030184,散称,生鲜,KG,0.776,4,3.104,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150421,201504,DW-1521010022,散称,一般商品,kg,0.8,14,11.2,否
210,12,蔬果,1203,水果,120302,苹果类,20150421,201504,DW-1203020162,散称,生鲜,KG,0.532,7.98,4.24536,否
210,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150421,201504,DW-1505030009,450g,一般商品,盒,1,11.8,11.8,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150421,201504,DW-1201020044,散称,生鲜,千克,0.406,3.96,1.60776,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150424,201504,DW-1201020022,散称,生鲜,千克,0.365,6.56,2.3944,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150424,201504,DW-1521010022,散称,一般商品,kg,0.904,14,12.656,否
210,12,蔬果,1201,蔬菜,120104,花果,20150424,201504,DW-1201040010,散称,生鲜,千克,0.744,2.58,1.91952,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150424,201504,DW-1201010021,散称,生鲜,千克,0.24,6.56,1.5744,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150426,201504,DW-1201020044,散称,生鲜,千克,0.44,3.96,1.7424,否
210,12,蔬果,1203,水果,120307,蕉类,20150426,201504,DW-1203070022,散称,生鲜,KG,1.281,5.96,7.63476,否
210,12,蔬果,1203,水果,120306,桃/李类,20150426,201504,DW-1203060100,散称,生鲜,KG,0.6,11.8,7.08,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150426,201504,DW-1201010001,散称,生鲜,千克,0.4,5.56,2.224,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150426,201504,DW-1201010005,散称,生鲜,千克,0.324,5.8,1.8792,否
210,12,蔬果,1203,水果,120302,苹果类,20150427,201504,DW-1203020162,散称,生鲜,KG,1.226,7.98,9.78348,否
210,12,蔬果,1203,水果,120306,桃/李类,20150427,201504,DW-1203060100,散称,生鲜,KG,0.982,11.8,11.5876,否
210,12,蔬果,1203,水果,120303,梨类,20150427,201504,DW-1203030184,散称,生鲜,KG,1.048,4,4.192,否
210,12,蔬果,1203,水果,120313,其它水果,20150427,201504,DW-1203130449,散称,生鲜,KG,0.792,23,18.216,否
210,12,蔬果,1203,水果,120313,其它水果,20150427,201504,DW-1203130353,散称,生鲜,KG,1.014,11.98,12.14772,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150428,201504,DW-1201020022,散称,生鲜,千克,0.456,6.56,2.99136,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150428,201504,DW-1521010002,散称,一般商品,千克,1.144,19.2,21.9648,否
210,12,蔬果,1201,蔬菜,120104,花果,20150428,201504,DW-1201040010,散称,生鲜,千克,0.772,2.58,1.99176,否
210,12,蔬果,1201,蔬菜,120101,叶菜,20150428,201504,DW-1201010021,散称,生鲜,千克,0.204,6.56,1.33824,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150428,201504,DW-1201020045,散称,生鲜,千克,0.378,7.6,2.8728,否
210,12,蔬果,1201,蔬菜,120104,花果,20150428,201504,DW-1201040035,散称,生鲜,千克,0.264,9.6,2.5344,否
210,20,粮油,2005,煮食面/粉,200501,挂面,20150429,201504,DW-2005010010,350g*2,一般商品,组,1,5.3,5.3,否
210,20,粮油,2011,液体调料,201104,其他酱油,20150429,201504,DW-2011040009,150ml,一般商品,瓶,5,4.7,23.5,是
211,30,洗化,3006,洗衣用品,300604,洗衣皂,20150104,201501,DW-3006040111,242g*2,一般商品,组,1,9.9,9.9,否
211,30,洗化,3016,纸制品,301603,无芯纸,20150104,201501,DW-3016030153,120节*10卷,一般商品,提,1,10.9,10.9,是
211,30,洗化,3006,洗衣用品,300601,洗衣粉,20150104,201501,DW-3006010401,1.2kg,一般商品,袋,1,18.9,18.9,否
211,12,蔬果,1203,水果,120301,柑桔柚类,20150118,201501,DW-1203010293,散称,生鲜,KG,0.794,10,7.94,否
211,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150118,201501,DW-1505020020,100g*8,一般商品,袋,1,11.9,11.9,否
211,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150118,201501,DW-1301010076,散称,联营商品,kg,0.802,20,16.04,否
211,22,休闲,2207,糖果,220799,其他糖果,20150118,201501,DW-2207990007,散称,一般商品,千克,0.342,49.8,17.0316,否
212,15,日配,1512,冷冻汤圆,151201,黑芝麻汤圆,20150104,201501,DW-1512010013,450g,一般商品,袋,1,10.3,10.3,否
212,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150104,201501,DW-1505040001,100g*8,一般商品,组,1,12.9,12.9,是
212,15,日配,1513,冷冻包子馒头,151399,其它包子馒头,20150104,201501,DW-1513990002,800g,一般商品,袋,1,14.3,14.3,是
212,15,日配,1508,冷冻点心,150801,冷冻面食,20150104,201501,DW-1508010040,450g,一般商品,袋,1,13.9,13.9,否
212,22,休闲,2205,炒货,220514,西瓜子,20150105,201501,DW-2205140041,散称,一般商品,kg,0.12,35,4.2,否
212,10,肉禽,1001,猪肉,100101,鲜猪肉,20150105,201501,DW-1001010196,散称,生鲜,千克,0.562,27.8,15.6236,否
212,10,肉禽,1001,猪肉,100101,鲜猪肉,20150105,201501,DW-1001010192,散称,生鲜,千克,0.166,29.8,4.9468,否
212,12,蔬果,1201,蔬菜,120105,鲜调味,20150105,201501,DW-1201050007,散称,生鲜,千克,0.177,15.6,2.7612,否
212,22,休闲,2205,炒货,220599,其他炒货,20150105,201501,DW-2205990158,散称,一般商品,kg,0.066,35,2.31,否
212,12,蔬果,1201,蔬菜,120101,叶菜,20150108,201501,DW-1201010023,散称,生鲜,千克,0.7,2.56,1.792,否
212,12,蔬果,1201,蔬菜,120101,叶菜,20150108,201501,DW-1201010020, ,生鲜,包,1,4.98,4.98,否
212,12,蔬果,1201,蔬菜,120102,根茎,20150108,201501,DW-1201020017,散称,生鲜,千克,0.719,2.56,1.84064,否
212,12,蔬果,1201,蔬菜,120102,根茎,20150108,201501,DW-1201020043,散称,生鲜,千克,0.894,1.8,1.6092,否
212,20,粮油,2006,五谷杂粮,200603,常规面粉,20150108,201501,DW-2006030189,5kg,一般商品,袋,1,41.9,41.9,否
